,Are you on the waiting list?,Program,"Programming and Analytical Experiences [R, data manipulation and modeling]",What code/text editor do you use most?,"Programming and Analytical Experiences [R, graphic basics (base, lattice, grid etc. )]","Programming and Analytical Experiences [R, advanced (multivariate data analysis, e.g. spatiotemporal data, visualization and modeling)]",Programming and Analytical Experiences [Reproducible documentation with R (e.g. R Markdown)],"Programming and Analytical Experiences [Matlab, data manipulation, analysis, visualization and modeling]",Programming and Analytical Experiences [Github],R, Excel, SQL, RStudio, ggplot2, Python, Stata, dropbox, google drive (formerly docs), regular expressions (grep), Github, shell (terminal / command line), LaTeX, Sweave/knitr, XML, Web: html css js,Excel, C/C++,Matlab, R, SPSS, lattice,RStudio,Github,SQL,shell (terminal / command line),Python
95,False,Data Science Certification,1,notepad++,0,0,0,0,0,True,True,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
96,False,PhD Biomedical Informatics,2,TextMate,1,1,0,0,1,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97,False,Data Science Certification,2,RStudio,1,1,0,0,1,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,False,Data Science Certification,1,Sublime Text,1,1,1,2,2,False,True,True,True,False,True,True,True,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
99,False,Data Science Certification,1,"Webstorm, pycharm",0,0,0,0,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
100,False,Other masters,2,Sublime Text,2,2,2,2,2,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False
101,False,IDSE (master),1,notepad++,0,0,0,0,1,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
102,False,Other masters,2,notepad++,2,2,2,2,1,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
103,False,IDSE (master),2,Atom,1,2,0,1,2,False,False,True,False,True,True,False,True,True,False,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False
104,False,IDSE (master),2,RStudio,1,2,0,2,1,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
105,False,IDSE (master),1,TextWrangler,1,0,0,0,0,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
106,False,Other masters,2,Sublime Text,2,1,2,0,1,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
107,False,Data Science Certification,1,RStudio,2,1,2,1,2,True,True,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108,False,IDSE (master),2,RStudio,2,2,2,2,2,False,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False
109,False,IDSE (master),1,TextWrangler,1,0,0,0,0,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110,False,Other masters,1,RStudio,1,0,1,0,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
111,False,Data Science Certification,0,Eclipse ,0,0,0,1,1,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
112,False,IDSE (master),1,Sublime Text,1,0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
113,False,IDSE (master),2,vi/vim,1,1,1,2,1,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
